File,Pressure_mTorr,Voltage_kV,Current_A,rat1,rat2,rat4,rat5,w630,w880
105mTorr_0.36kV_55A_spectrum_data.csv,105.0,36.0,55.0,1.4490534657686645,0.8798158526114284,1.069217420035699,2.019280660055052,12.985246479595475,12.583513513703865
27p4mTorr_0.47kV_80A_spectrum_data.csv,27.4,47.0,80.0,6.840166683012939,8.193355710624171,6.794021292128342e-06,0.15037278629358936,36.21153664358845,23.810617251285542
19p0mTorr_0.48kV_50A_spectrum_data.csv,19.0,48.0,50.0,0.4564489384952907,0.8202710899114831,0.6154009217595476,3.195310470903155,8.16593193744592,10.54655968109732
65p0mTorr_0.39kV_90A_spectrum_data.csv,65.0,39.0,90.0,1.901985734301876e-05,1.0146911608981013,1.0708098496210003,1.8463559310858875,10.99955924711986,12.530914331897332
35p6mTorr_0.48kV_70A_spectrum_data.csv,35.6,48.0,70.0,39.167370559785844,0.27499989197605335,1.669266147738529,1.6611872898493243,18.040885008983523,10.067371008558506
27p1mTorr_0.41kV_20A_spectrum_data.csv,27.1,41.0,20.0,0.0,2.8986332628781963,0.0,0.0,3.7005544504204133,21.901126087222707
107mTorr_0.37kV_75A_spectrum_data.csv,107.0,37.0,75.0,0.0,0.21891839587705184,0.0,,0.0,4.000207358075234
441mTorr_0.46kV_65A_spectrum_data.csv,441.0,46.0,65.0,1.278377219358022,2.1110349166230757,3.317774345060327,4.403582244029523,6.112980747165074,20.14337180214948
27p1mTorr_0.46kV_45A_spectrum_data.csv,27.1,46.0,45.0,0.0,0.644729077307946,0.0,,0.0,2.8677180412799963
94p5mTorr_0.35kV_10A_spectrum_data.csv,94.5,35.0,10.0,-25.478639525905095,0.6522306113610217,0.975906354218177,2.230836293134438,10.812589579262903,11.458304108429294
52p1mTorr_0.42kV_40A_spectrum_data.csv,52.1,42.0,40.0,1.9230502314887394,6.13783187279081,1.451243617973296,4.636773462865436,5.186646336358074,8.671143560563928
64p6mTorr_0.39kV_80A_spectrum_data.csv,64.6,39.0,80.0,2.5501828770475066,2.44068911147286,0.22666562489391567,2.0417243388982316e-05,1177.915110365618,36.656600317670176
23p7mTorr_0.48kV_50A_spectrum_data.csv,23.7,48.0,50.0,7.968656940278082,1.6595210982802568,0.9768970643783531,2.697596792079124,11.121357274478276,11.660061006325124
51p8mTorr_0.38kV_80A_spectrum_data.csv,51.8,38.0,80.0,3.15958263720417e-05,1.1483789266062305,0.8940863720619089,3.318937883806621,9.405017689838454,12.894849516300182
357mTorr_0.45kV_85A_spectrum_data.csv,357.0,45.0,85.0,0.9055780941660918,0.48391854610019447,1.091428805121582,1.6176435037834218,13.221508050698574,12.104270821633955
16p0mTorr_0.45kV_40A_spectrum_data.csv,16.0,45.0,40.0,3.7271403437541055,1.320941497958921,0.7551508931053829,3.706935482754978,8.19082584067201,14.607508255424223
20p0mTorr_0.49kV_60A_spectrum_data.csv,20.0,49.0,60.0,0.0022785161784711935,0.15999500095111913,0.912030555537706,2.1343744585150188e-05,1067.337136055018,13.904997951814167
24p4mTorr_0.46kV_80A_spectrum_data.csv,24.4,46.0,80.0,2.557656343484082,1.6378010910193717,0.7259971232524605,2.239810220522741,10.736491481088676,12.469342047949572
27p4mTorr_0.47kV_60A_spectrum_data.csv,27.4,47.0,60.0,3.0362437283533732e-05,0.26047432720835756,0.8792439355327176,3.7340579065765582,8.604921751714391,11.67488413315774
24p0mTorr_0.50kV_70A_spectrum_data.csv,24.0,50.0,70.0,0.058366995074836024,0.8029895833258006,0.9569717600159362,3.2403441960809576,10.642574817554358,12.858638942785774
62p3mTorr_0.36kV_20A_spectrum_data.csv,62.3,36.0,20.0,3.0031390225978525,1.7273419601103297,0.5372637043453689,0.027956356376571234,85.56392046998991,22.040978878466184
24p9mTorr_0.46kV_20A_spectrum_data.csv,24.9,46.0,20.0,-0.0,-1.2375905465866492,-0.0,,0.0,3.002861449697686
93p2mTorr_0.36kV_50A_spectrum_data.csv,93.2,36.0,50.0,1.5932733442285345,0.6038630391874568,0.9619050504547917,1.8308050171281218,10.807226215593964,12.21956867685376
