# DC Glow Discharge Radial Solver — Air Plasma
# Cathode radius   : 23.145 mm
# Chamber radius   : 140.0 mm
# Current          : 20.00 mA
# Cathode voltage  : -550.0 V
# Pressure         : 0.0400 Torr
# Gas              : Air (80% N2 / 20% O2)
#
# Columns
#   r_m    — radial position [m]
#   r_mm   — radial position [mm]
#   ne_m3  — electron density [m^-3]
#   ne_cm3 — electron density [cm^-3]
#   ni_m3  — ion density [m^-3]
#   ni_cm3 — ion density [cm^-3]
#   Te_eV  — electron temperature [eV]
#   phi_V  — electric potential [V]
#   E_Vm   — radial electric field [V/m]
r_m,r_mm,ne_m3,ne_cm3,ni_m3,ni_cm3,Te_eV,phi_V,E_Vm
5.418919e-02,54.1892,1.343250e+16,1.343250e+10,1.391643e+16,1.391643e+10,1.3540,-282.7193,-3294.6814
5.448206e-02,54.4821,1.343181e+16,1.343181e+10,1.391231e+16,1.391231e+10,1.3528,-281.7544,-3294.6814
5.477492e-02,54.7749,1.343089e+16,1.343089e+10,1.390800e+16,1.390800e+10,1.3516,-280.7895,-3294.6814
5.506779e-02,55.0678,1.342975e+16,1.342975e+10,1.390350e+16,1.390350e+10,1.3504,-279.8246,-3294.6814
5.536066e-02,55.3607,1.342839e+16,1.342839e+10,1.389882e+16,1.389882e+10,1.3493,-278.8596,-3294.6814
5.565353e-02,55.6535,1.342681e+16,1.342681e+10,1.389396e+16,1.389396e+10,1.3481,-277.8947,-3294.6814
5.594640e-02,55.9464,1.342502e+16,1.342502e+10,1.388893e+16,1.388893e+10,1.3470,-276.9298,-3294.6814
5.623927e-02,56.2393,1.342302e+16,1.342302e+10,1.388371e+16,1.388371e+10,1.3458,-275.9649,-3294.6814
5.653214e-02,56.5321,1.342080e+16,1.342080e+10,1.387832e+16,1.387832e+10,1.3447,-275.0000,-3294.6814
5.682501e-02,56.8250,1.341838e+16,1.341838e+10,1.387276e+16,1.387276e+10,1.3436,-274.0351,-3294.6814
5.711788e-02,57.1179,1.341576e+16,1.341576e+10,1.386704e+16,1.386704e+10,1.3425,-273.0702,-3294.6814
5.741075e-02,57.4108,1.341294e+16,1.341294e+10,1.386114e+16,1.386114e+10,1.3414,-272.1053,-3294.6814
5.770362e-02,57.7036,1.340991e+16,1.340991e+10,1.385508e+16,1.385508e+10,1.3403,-271.1404,-3294.6814
5.799649e-02,57.9965,1.340670e+16,1.340670e+10,1.384886e+16,1.384886e+10,1.3392,-270.1754,-3294.6814
5.828936e-02,58.2894,1.340329e+16,1.340329e+10,1.384248e+16,1.384248e+10,1.3382,-269.2105,-3294.6814
5.858223e-02,58.5822,1.339970e+16,1.339970e+10,1.383594e+16,1.383594e+10,1.3371,-268.2456,-3294.6814
5.887510e-02,58.8751,1.339591e+16,1.339591e+10,1.382925e+16,1.382925e+10,1.3361,-267.2807,-3294.6814
